"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 03 00:26:24 BRT 2025","Mon Feb 03 00:26:27 BRT 2025","3132","","Auth","","Validar o endpoint POST /login","","Validar o endpoint POST /login",""
"passed","Mon Feb 03 00:26:30 BRT 2025","Mon Feb 03 00:26:31 BRT 2025","455","","Users","","Validar o endpoint GET /user-info","","Validar o endpoint GET /user-info",""
"passed","Mon Feb 03 00:26:27 BRT 2025","Mon Feb 03 00:26:28 BRT 2025","840","","Auth","","Validar o endpoint PUT /update-password","","Validar o endpoint PUT /update-password",""
"passed","Mon Feb 03 00:26:28 BRT 2025","Mon Feb 03 00:26:28 BRT 2025","647","","Auth","","Validar o endpoint POST /login com Credenciais incorretas","","Validar o endpoint POST /login com Credenciais incorretas",""
"passed","Mon Feb 03 00:26:30 BRT 2025","Mon Feb 03 00:26:30 BRT 2025","526","","Users","","Validar o endpoint GET /user/{id}","","Validar o endpoint GET /user/{id}",""
"passed","Mon Feb 03 00:26:29 BRT 2025","Mon Feb 03 00:26:29 BRT 2025","540","","Users","","Validar o endpoint GET /users","","Validar o endpoint GET /users",""
"passed","Mon Feb 03 00:26:32 BRT 2025","Mon Feb 03 00:26:32 BRT 2025","481","","Users","","Validar o endpoint PUT /reativar-user/{id}","","Validar o endpoint PUT /reativar-user/{id}",""
"passed","Mon Feb 03 00:26:31 BRT 2025","Mon Feb 03 00:26:32 BRT 2025","607","","Users","","Validar o endpoint DELETE /inativar-user/{id}","","Validar o endpoint DELETE /inativar-user/{id}",""
"passed","Mon Feb 03 00:26:30 BRT 2025","Mon Feb 03 00:26:30 BRT 2025","457","","Users","","Validar o endpoint GET /user/{id}","","Validar o endpoint GET /user/{id}",""
"passed","Mon Feb 03 00:26:28 BRT 2025","Mon Feb 03 00:26:29 BRT 2025","685","","Auth","","Validar o endpoint POST /login com Credenciais incorretas","","Validar o endpoint POST /login com Credenciais incorretas",""
