"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 06 14:14:34 UTC 2025","Thu Mar 06 14:14:35 UTC 2025","348","","Auth","","Validar o endpoint POST /login com Credenciais incorretas","","Validar o endpoint POST /login com Credenciais incorretas",""
"passed","Thu Mar 06 14:14:36 UTC 2025","Thu Mar 06 14:14:36 UTC 2025","280","","Users","","Validar o endpoint DELETE /inativar-user/{id}","","Validar o endpoint DELETE /inativar-user/{id}",""
"passed","Thu Mar 06 14:14:35 UTC 2025","Thu Mar 06 14:14:35 UTC 2025","287","","Auth","","Validar o endpoint POST /login com Credenciais incorretas","","Validar o endpoint POST /login com Credenciais incorretas",""
"passed","Thu Mar 06 14:14:31 UTC 2025","Thu Mar 06 14:14:34 UTC 2025","2884","","Auth","","Validar o endpoint POST /login","","Validar o endpoint POST /login",""
"passed","Thu Mar 06 14:14:35 UTC 2025","Thu Mar 06 14:14:36 UTC 2025","178","","Users","","Validar o endpoint GET /user/{id}","","Validar o endpoint GET /user/{id}",""
"passed","Thu Mar 06 14:14:35 UTC 2025","Thu Mar 06 14:14:35 UTC 2025","168","","Users","","Validar o endpoint GET /user/{id}","","Validar o endpoint GET /user/{id}",""
"passed","Thu Mar 06 14:14:35 UTC 2025","Thu Mar 06 14:14:35 UTC 2025","184","","Users","","Validar o endpoint GET /users","","Validar o endpoint GET /users",""
"passed","Thu Mar 06 14:14:36 UTC 2025","Thu Mar 06 14:14:36 UTC 2025","204","","Users","","Validar o endpoint GET /user-info","","Validar o endpoint GET /user-info",""
"passed","Thu Mar 06 14:14:34 UTC 2025","Thu Mar 06 14:14:34 UTC 2025","515","","Auth","","Validar o endpoint PUT /update-password","","Validar o endpoint PUT /update-password",""
"passed","Thu Mar 06 14:14:36 UTC 2025","Thu Mar 06 14:14:36 UTC 2025","215","","Users","","Validar o endpoint PUT /reativar-user/{id}","","Validar o endpoint PUT /reativar-user/{id}",""
